	T [K]	r	c [mol/kg]	k [mS/cm]
0	243.15	1.0	0.615	1.883
1	253.15	1.0	0.615	2.632
2	263.15	1.0	0.615	3.463
3	273.15	1.0	0.615	4.313
4	283.15	1.0	0.615	5.226
5	293.15	1.0	0.615	6.216
6	303.15	1.0	0.615	7.185
7	313.15	1.0	0.615	8.278
8	323.15	1.0	0.615	9.439
9	333.15	1.0	0.615	10.53
10	243.15	1.0	0.615	1.913
11	253.15	1.0	0.615	2.687
12	263.15	1.0	0.615	3.539
13	273.15	1.0	0.615	4.404
14	283.15	1.0	0.615	5.338
15	293.15	1.0	0.615	6.35
16	303.15	1.0	0.615	7.295
17	313.15	1.0	0.615	8.465
18	323.15	1.0	0.615	9.604
19	333.15	1.0	0.615	10.676
20	243.15	1.0	0.615	1.994
21	253.15	1.0	0.615	2.833
22	263.15	1.0	0.615	3.777
23	273.15	1.0	0.615	4.766
24	283.15	1.0	0.615	5.84
25	293.15	1.0	0.615	7.02
26	303.15	1.0	0.615	8.131
27	313.15	1.0	0.615	9.435
28	323.15	1.0	0.615	10.677
29	333.15	1.0	0.615	11.823
30	243.15	1.0	0.615	1.893
31	253.15	1.0	0.615	2.658
32	263.15	1.0	0.615	3.496
33	273.15	1.0	0.615	4.354
34	283.15	1.0	0.615	5.288
35	293.15	1.0	0.615	6.278
36	303.15	1.0	0.615	7.242
37	313.15	1.0	0.615	8.303
38	323.15	1.0	0.615	9.383
39	333.15	1.0	0.615	10.352
40	243.15	0.871	1.543	0.877
41	253.15	0.871	1.543	1.542
42	263.15	0.871	1.543	2.397
43	273.15	0.871	1.543	3.346
44	283.15	0.871	1.543	4.481
45	293.15	0.871	1.543	5.746
46	303.15	0.871	1.543	7.07
47	313.15	0.871	1.543	8.519
48	323.15	0.871	1.543	10.018
49	333.15	0.871	1.543	11.556
50	243.15	0.871	1.543	0.913
51	253.15	0.871	1.543	1.638
52	263.15	0.871	1.543	2.598
53	273.15	0.871	1.543	3.743
54	283.15	0.871	1.543	5.107
55	293.15	0.871	1.543	6.646
56	303.15	0.871	1.543	8.101
57	313.15	0.871	1.543	9.575
58	323.15	0.871	1.543	10.898
59	333.15	0.871	1.543	12.404
60	243.15	0.871	1.543	0.938
61	253.15	0.871	1.543	1.657
62	263.15	0.871	1.543	2.583
63	273.15	0.871	1.543	3.62
64	283.15	0.871	1.543	4.609
65	293.15	0.871	1.543	6.105
66	303.15	0.871	1.543	7.303
67	313.15	0.871	1.543	9.136
68	323.15	0.871	1.543	9.513
69	333.15	0.871	1.543	12.633
70	243.15	0.564	1.055	1.109
71	253.15	0.564	1.055	1.789
72	263.15	0.564	1.055	2.649
73	273.15	0.564	1.055	3.448
74	283.15	0.564	1.055	5.221
75	293.15	0.564	1.055	6.677
76	303.15	0.564	1.055	8.242
77	313.15	0.564	1.055	9.681
78	323.15	0.564	1.055	11.274
79	333.15	0.564	1.055	13.03
80	243.15	0.564	1.055	1.258
81	253.15	0.564	1.055	2.162
82	263.15	0.564	1.055	3.323
83	273.15	0.564	1.055	4.641
84	283.15	0.564	1.055	6.275
85	293.15	0.564	1.055	8.078
86	303.15	0.564	1.055	9.685
87	313.15	0.564	1.055	11.219
88	323.15	0.564	1.055	12.814
89	333.15	0.564	1.055	14.903
90	243.15	0.776	1.05	1.242
91	253.15	0.776	1.05	2.082
92	263.15	0.776	1.05	3.125
93	273.15	0.776	1.05	4.266
94	283.15	0.776	1.05	5.645
95	293.15	0.776	1.05	7.127
96	303.15	0.776	1.05	8.629
97	313.15	0.776	1.05	9.958
98	323.15	0.776	1.05	10.023
99	333.15	0.776	1.05	13.636
100	243.15	0.776	1.05	1.238
101	253.15	0.776	1.05	2.077
102	263.15	0.776	1.05	3.116
103	273.15	0.776	1.05	4.268
104	283.15	0.776	1.05	5.635
105	293.15	0.776	1.05	7.103
106	303.15	0.776	1.05	8.834
107	313.15	0.776	1.05	10.416
108	323.15	0.776	1.05	12.209
109	333.15	0.776	1.05	14.066
110	243.15	1.0	1.058	1.174
111	253.15	1.0	1.058	1.913
112	263.15	1.0	1.058	2.822
113	273.15	1.0	1.058	3.887
114	283.15	1.0	1.058	5.413
115	293.15	1.0	1.058	6.903
116	303.15	1.0	1.058	8.388
117	313.15	1.0	1.058	8.727
118	323.15	1.0	1.058	10.737
119	333.15	1.0	1.058	13.556
120	243.15	1.0	1.058	1.177
121	253.15	1.0	1.058	1.954
122	263.15	1.0	1.058	2.877
123	273.15	1.0	1.058	3.874
124	283.15	1.0	1.058	5.107
125	293.15	1.0	1.058	6.405
126	303.15	1.0	1.058	7.84
127	313.15	1.0	1.058	9.533
128	323.15	1.0	1.058	11.546
129	333.15	1.0	1.058	12.821
130	243.15	1.0	1.058	1.193
131	253.15	1.0	1.058	1.973
132	263.15	1.0	1.058	2.935
133	273.15	1.0	1.058	4.0
134	283.15	1.0	1.058	5.26
135	293.15	1.0	1.058	6.656
136	303.15	1.0	1.058	8.12
137	313.15	1.0	1.058	9.946
138	323.15	1.0	1.058	11.38
139	333.15	1.0	1.058	13.411
140	243.15	1.0	1.058	1.098
141	253.15	1.0	1.058	1.822
142	263.15	1.0	1.058	2.717
143	273.15	1.0	1.058	3.696
144	283.15	1.0	1.058	4.881
145	293.15	1.0	1.058	6.188
146	303.15	1.0	1.058	7.599
147	313.15	1.0	1.058	9.19
